Unnamed: 0,powerPlay,AverageScore,battingTeam,bowlingTeam,city,delivery_left,score,CurrentRunRate,wicketsLeft,Run_In_Last5,Wickets_In_Last5,Final_Score,innings
156915,0.0,174.0,India,New Zealand,Chennai,68,69,7.961538461538462,9,38.0,0.0,166,2.0
138333,1.0,128.66666666666666,India,England,Pune,89,48,9.29032258064516,8,,,158,2.0
173025,0.0,147.0,England,South Africa,Paarl,31,93,6.269662921348314,6,35.0,1.0,147,2.0
5388,0.0,156.9047619047619,Sri Lanka,Australia,Cape Town,43,64,4.987012987012987,3,30.0,2.0,101,1.0
81655,0.0,129.4,India,South Africa,Dharamsala,80,50,7.5,9,40.0,1.0,199,1.0
92882,0.0,119.2,West Indies,India,Lauderhill,29,95,6.263736263736264,6,31.0,2.0,98,2.0
131227,0.0,141.33333333333334,England,New Zealand,London,44,124,9.789473684210527,8,42.0,1.0,196,2.0
27636,0.0,146.14285714285714,Afghanistan,Zimbabwe,Sharjah,4,210,10.862068965517242,5,56.0,1.0,215,1.0
87308,0.0,153.33333333333334,Sri Lanka,New Zealand,Kandy,12,148,8.222222222222221,4,45.0,4.0,161,1.0
79118,0.0,163.0,West Indies,England,Chester-le-Street,48,122,10.166666666666666,7,41.0,2.0,176,1.0
149111,0.0,138.0,Netherlands,Bangladesh,The Hague,48,69,5.75,7,38.0,1.0,131,2.0
88979,0.0,134.0,West Indies,Ireland,Jamaica,77,32,4.465116279069767,8,18.0,2.0,96,1.0
4308,0.0,160.83333333333334,Sri Lanka,West Indies,Nottingham,33,146,10.06896551724138,9,49.0,1.0,192,1.0
128068,1.0,161.66666666666666,South Africa,West Indies,St George's,86,42,7.411764705882352,8,34.0,1.0,146,2.0
116630,0.0,136.78571428571428,Sri Lanka,Bangladesh,Sharjah,18,159,9.352941176470589,6,57.0,0.0,172,2.0
140874,0.0,130.3448275862069,India,Sri Lanka,Mirpur,57,68,6.476190476190476,8,,,142,2.0
14221,0.0,170.24137931034485,India,South Africa,Johannesburg,71,99,12.122448979591836,8,54.0,1.0,203,1.0
132440,0.0,141.33333333333334,Pakistan,Zimbabwe,Rawalpindi,42,111,8.538461538461538,8,46.0,,137,2.0
35658,1.0,168.44444444444446,Australia,England,Southampton,90,30,6.0,7,30.0,3.0,157,1.0
148081,0.0,157.4,Afghanistan,Bangladesh,Dehradun,11,119,6.55045871559633,6,41.0,2.0,135,2.0
39648,0.0,172.66666666666666,South Africa,West Indies,St George's,61,86,8.745762711864407,9,,,168,
30777,0.0,153.14285714285714,Sri Lanka,Bangladesh,Colombo,68,43,4.961538461538462,5,20.0,3.0,159,1.0
132844,0.0,123.16666666666669,West Indies,Zimbabwe,Trinidad,76,28,3.8181818181818175,8,24.0,2.0,79,2.0
151047,0.0,132.1764705882353,West Indies,Sri Lanka,Barbados,51,80,6.956521739130435,7,33.0,1.0,138,2.0
25069,0.0,178.75,Pakistan,New Zealand,Hamilton,33,108,7.448275862068965,7,49.0,1.0,168,1.0
133919,0.0,146.15384615384616,England,New Zealand,Durban,64,67,7.178571428571428,9,32.0,1.0,159,2.0
112211,1.0,138.07142857142858,Australia,Pakistan,Harare,88,53,9.9375,9,51.0,1.0,117,2.0
140324,1.0,130.3448275862069,Bangladesh,Afghanistan,Mirpur,86,34,6.0,10,33.0,,78,2.0
84455,0.0,174.16666666666666,India,England,Ahmedabad,63,72,7.578947368421052,7,39.0,2.0,185,1.0
130606,0.0,141.33333333333334,Netherlands,England,London,66,79,8.777777777777779,7,51.0,1.0,163,2.0
127165,0.0,129.41666666666666,Afghanistan,Ireland,Abu Dhabi,53,107,9.582089552238806,5,33.0,3.0,157,2.0
113809,1.0,162.58333333333334,New Zealand,Pakistan,Hamilton,84,46,7.666666666666667,9,37.0,1.0,164,2.0
147843,0.0,120.66666666666669,Ireland,Zimbabwe,Bready,4,118,6.103448275862069,1,24.0,2.0,119,2.0
80639,0.0,182.0,England,New Zealand,Napier,62,78,8.068965517241379,8,52.0,1.0,241,1.0
171822,0.0,131.5,Netherlands,Bangladesh,Dharamsala,48,79,6.583333333333333,7,32.0,2.0,145,2.0
86570,0.0,169.6,England,India,Birmingham,57,77,7.333333333333333,7,33.0,1.0,180,1.0
71980,1.0,143.5,West Indies,Pakistan,St Vincent,85,41,7.028571428571429,7,38.0,2.0,152,1.0
38775,0.0,146.41666666666666,Ireland,Afghanistan,Abu Dhabi,70,99,11.88,9,56.0,1.0,225,1.0
26706,0.0,146.14285714285714,England,Pakistan,Sharjah,68,65,7.500000000000001,7,,,154,1.0
100532,0.0,128.3953488372093,Ireland,Afghanistan,Dubai,19,115,6.831683168316832,3,37.0,2.0,126,2.0
154334,0.0,140.0,England,Pakistan,Cardiff,35,117,8.258823529411766,8,50.0,0.0,175,2.0
169436,0.0,142.66666666666666,New Zealand,Sri Lanka,Kandy,58,55,5.32258064516129,1,,,88,2.0
59697,0.0,149.0,England,New Zealand,Chattogram,57,91,8.666666666666666,7,36.0,2.0,172,1.0
21196,0.0,157.21428571428572,Zimbabwe,India,Harare,83,51,8.27027027027027,7,47.0,2.0,111,1.0
140143,0.0,130.3448275862069,Pakistan,Sri Lanka,Mirpur,31,115,7.752808988764045,7,46.0,1.0,151,2.0
121880,0.0,135.609756097561,Afghanistan,India,Colombo,8,128,6.857142857142857,2,35.0,3.0,136,2.0
46951,0.0,158.30769230769232,England,South Africa,Durban,49,103,8.704225352112676,7,34.0,1.0,204,1.0
114093,0.0,162.58333333333334,India,New Zealand,Hamilton,46,121,9.81081081081081,7,57.0,2.0,208,2.0
416,0.0,159.2,West Indies,New Zealand,Lauderhill,63,64,6.7368421052631575,9,32.0,0.0,209,1.0
97348,0.0,149.28571428571428,Australia,South Africa,Cape Town,9,169,9.135135135135137,6,39.0,2.0,181,2.0
168547,0.0,160.25,Bangladesh,Zimbabwe,Bulawayo,30,125,8.333333333333334,7,43.0,2.0,162,2.0
129757,0.0,141.33333333333334,Netherlands,Pakistan,London,83,37,6.0,9,28.0,1.0,93,2.0
20262,,145.89473684210526,Bangladesh,Australia,Dhaka,24,96,6.0,6,,,131,
81656,0.0,129.4,India,South Africa,Dharamsala,79,51,7.463414634146342,9,,,199,1.0
156175,1.0,148.0,Australia,New Zealand,Christchurch,84,36,6.0,6,30.0,,131,2.0
